"","modname","AICc","BIC","delta.AICc","delta.BIC","wi.AICc","wi.BIC","r2.vals","edf","edf.less.1","Depth","mean.relief","sd.relief","rock","macroalgae","hard.corals","sand","reef","Status"
"Abundance.TargetLoc.0.large.14","Depth+macroalgae",602.784981471895,642.253846033935,2.667,5.425,0.018,0.012,0.279,16.56,0,1,0,0,0,1,0,0,0,0
"Abundance.TargetLoc.0.large.7","hard.corals",603.060081567648,640.674730080103,2.942,3.846,0.016,0.026,0.247,15.9,0,0,0,0,0,0,1,0,0,0
"Abundance.TargetLoc.0.large.15","Depth+hard.corals",603.302026908615,641.09801115667,3.184,4.269,0.014,0.021,0.248,16.01,0,1,0,0,0,0,1,0,0,0
"Abundance.TargetLoc.0.large.3","mean.relief",603.337685937724,640.864351259573,3.219,4.036,0.014,0.024,0.244,15.86,0,0,1,0,0,0,0,0,0,0
"Abundance.TargetLoc.0.large.11","Depth+mean.relief",603.611631969122,641.332029590744,3.493,4.503,0.012,0.019,0.245,15.98,0,1,1,0,0,0,0,0,0,0
"Abundance.TargetLoc.1.large.24","hard.corals+reef",564.413907679106,606.113851821997,0,0,0.536,0.178,0.498,17.67,0,0,0,0,0,0,1,0,1,0
"Abundance.TargetLoc.1.large.23","hard.corals+sand",567.449825968259,609.133609142161,3.036,3.02,0.117,0.039,0.481,17.32,0,0,0,0,0,0,1,1,0,0
"Abundance.TargetLoc.2.large.38","Depth+Status+rock.by.Status",785.657665291045,825.521660087023,0,0.138,0.17,0.122,0.649,17.31,0,1,0,0,1,0,0,0,0,1
"Abundance.TargetLoc.2.large.45","Status+Depth.by.Status+rock.by.Status",785.686896519975,825.649091303759,0.029,0.265,0.167,0.115,0.65,17.35,0,1,0,0,1,0,0,0,0,1
"Abundance.TargetLoc.2.large.28","Status+rock.by.Status",785.687046875592,825.384157989287,0.029,0,0.167,0.131,0.648,17.19,0,0,0,0,1,0,0,0,0,1
"Abundance.TargetLoc.2.large.17","sd.relief+rock",787.301277171727,826.716180933142,1.644,1.332,0.075,0.067,0.639,16.98,0,0,0,1,1,0,0,0,0,0
"Abundance.TargetLoc.2.large.32","Depth+sd.relief+rock",787.498552340894,827.105492059969,1.841,1.721,0.068,0.055,0.64,17.1,0,1,0,1,1,0,0,0,0,0
"Abundance.TargetLoc.2.large.5","rock",787.564023561267,825.579536402283,1.906,0.195,0.066,0.119,0.627,16.03,0,0,0,0,1,0,0,0,0,0
"Abundance.TargetLoc.2.large.20","rock+Status",787.689514835162,825.862767084429,2.032,0.479,0.062,0.103,0.628,16.13,0,0,0,0,1,0,0,0,0,1
"Abundance.TargetLoc.2.large.13","Depth+rock",787.763920387639,825.990655700659,2.106,0.606,0.059,0.097,0.628,16.14,0,1,0,0,1,0,0,0,0,0
"Abundance.TargetLoc.2.large.35","Depth+rock+Status",787.867082833227,826.232768837229,2.209,0.849,0.056,0.086,0.628,16.24,0,1,0,0,1,0,0,0,0,1
"Abundance.TargetLoc.2.large.41","rock+Status+Depth.by.Status",788.007530988033,826.520648317383,2.35,1.136,0.052,0.074,0.629,16.3,0,1,0,0,1,0,0,0,0,1
"Abundance.TargetLoc.0.small","null",464.578413870156,472.010588879342,0,0,1,1,-0.184,1,0,0,0,0,0,0,0,0,0,0
"Abundance.TargetLoc.1.small.10","Status",139.107819237333,170.02517998647,0,0,0.462,0.533,0.275,11.34,0,0,0,0,0,0,0,0,0,1
"Abundance.TargetLoc.1.small.25","sand+Status",141.002380979688,173.275210968263,1.895,3.25,0.179,0.105,0.274,12.09,0,0,0,0,0,0,0,1,0,1
"Abundance.TargetLoc.1.small.26","reef+Status",141.663777815809,174.022410183311,2.556,3.997,0.129,0.072,0.275,12.16,0,0,0,0,0,0,0,0,1,1
"Abundance.TargetLoc.1.small.16","Depth+Status",142.643726945391,172.891594688131,3.536,2.866,0.079,0.127,0.281,10.95,0,1,0,0,0,0,0,0,0,1
"Abundance.TargetLoc.2.small.9","reef",706.696105571871,742.938333125944,0,0.753,0.08,0.077,0.438,14.94,0,0,0,0,0,0,0,0,1,0
"Abundance.TargetLoc.2.small.26","reef+Status",706.863204567518,743.338022054726,0.167,1.152,0.074,0.063,0.439,15.1,0,0,0,0,0,0,0,0,1,1
"Abundance.TargetLoc.2.small.5","rock",707.049945090325,743.051368536546,0.354,0.866,0.067,0.072,0.434,14.8,0,0,0,0,1,0,0,0,0,0
"Abundance.TargetLoc.2.small.8","sand",707.201199347981,743.390632203074,0.505,1.205,0.062,0.061,0.435,14.91,0,0,0,0,0,0,0,1,0,0
"Abundance.TargetLoc.2.small.10","Status",707.317634360474,742.185656496043,0.622,0,0.059,0.112,0.421,14.09,0,0,0,0,0,0,0,0,0,1
"Abundance.TargetLoc.2.small.25","sand+Status",707.382072886075,743.808538173748,0.686,1.623,0.057,0.05,0.436,15.07,0,0,0,0,0,0,0,1,0,1
"Abundance.TargetLoc.2.small.2","Depth",707.438986109334,742.421693450133,0.743,0.236,0.055,0.099,0.421,14.14,0,1,0,0,0,0,0,0,0,0
"Abundance.TargetLoc.2.small.20","rock+Status",707.47930739096,743.795033855817,0.783,1.609,0.054,0.05,0.435,15.01,0,0,0,0,1,0,0,0,0,1
"Abundance.TargetLoc.2.small.13","Depth+rock",707.558981516934,743.954495102569,0.863,1.769,0.052,0.046,0.435,15.06,0,1,0,0,1,0,0,0,0,0
"Abundance.TargetLoc.2.small.16","Depth+Status",707.75536862947,743.001191143756,1.059,0.816,0.047,0.074,0.422,14.32,0,1,0,0,0,0,0,0,0,1
"Abundance.TargetLoc.2.small.35","Depth+rock+Status",707.973149627082,744.667911910687,1.277,2.482,0.042,0.032,0.436,15.26,0,1,0,0,1,0,0,0,0,1
"Abundance.TargetLoc.2.small.27","Status+Depth.by.Status",708.306582010521,743.963303058011,1.61,1.778,0.036,0.046,0.424,14.54,0,1,0,0,0,0,0,0,0,1
"Abundance.TargetLoc.2.small.41","rock+Status+Depth.by.Status",708.574748043464,745.690084119293,1.879,3.504,0.031,0.019,0.438,15.53,0,1,0,0,1,0,0,0,0,1
"Abundance.TargetLoc.2.small.31","Status+reef.by.Status",709.252549906146,746.92229498215,2.556,4.737,0.022,0.01,0.44,15.89,0,0,0,0,0,0,0,0,1,1
"Abundance.TargetLoc.2.small.3","mean.relief",709.285100824155,745.279998613129,2.589,3.094,0.022,0.024,0.421,14.77,0,0,1,0,0,0,0,0,0,0
"Abundance.TargetLoc.2.small.24","hard.corals+reef",709.335259131316,746.97579514834,2.639,4.79,0.021,0.01,0.439,15.84,0,0,0,0,0,0,1,0,1,0
"Abundance.TargetLoc.2.small.7","hard.corals",709.609245928762,745.614413938747,2.913,3.429,0.019,0.02,0.42,14.8,0,0,0,0,0,0,1,0,0,0
"Abundance.TargetLoc.2.small.30","Status+sand.by.Status",709.738632749517,747.37083892712,3.043,5.185,0.018,0.008,0.436,15.86,0,0,0,0,0,0,0,1,0,1
"Abundance.TargetLoc.2.small.11","Depth+mean.relief",709.820393154966,746.20578436892,3.124,4.02,0.017,0.015,0.423,15.02,0,1,1,0,0,0,0,0,0,0
"Abundance.TargetLoc.2.small.23","hard.corals+sand",709.886075319926,747.455008036596,3.19,5.269,0.016,0.008,0.435,15.8,0,0,0,0,0,0,1,1,0,0
"Abundance.TargetLoc.2.small.28","Status+rock.by.Status",710.074231319379,747.653741470536,3.378,5.468,0.015,0.007,0.435,15.83,0,0,0,0,1,0,0,0,0,1
"Abundance.TargetLoc.2.small.15","Depth+hard.corals",710.090103741813,746.476127377257,3.394,4.29,0.015,0.013,0.421,15.05,0,1,0,0,0,0,1,0,0,0
"Abundance.TargetLoc.2.small.6","macroalgae",710.470465828454,746.013717037363,3.774,3.828,0.012,0.016,0.41,14.36,0,0,0,0,0,1,0,0,0,0
"School.Total.28","Status+rock.by.Status",956.239914571224,995.283345648895,0,0,0.208,0.169,0.571,16.97,0,0,0,0,1,0,0,0,0,1
"School.Total.38","Depth+Status+rock.by.Status",956.308042300575,995.562449929305,0.068,0.279,0.201,0.147,0.573,17.14,0,1,0,0,1,0,0,0,0,1
"School.Total.45","Status+Depth.by.Status+rock.by.Status",956.654491493728,996.175010131089,0.415,0.892,0.169,0.108,0.574,17.27,0,1,0,0,1,0,0,0,0,1
"School.Total.5","rock",958.442584286065,995.808950047572,2.203,0.526,0.069,0.13,0.545,15.81,0,0,0,0,1,0,0,0,0,0
"School.Total.20","rock+Status",958.551491946994,996.058619491144,2.312,0.775,0.066,0.115,0.546,15.91,0,0,0,0,1,0,0,0,0,1
"School.Total.13","Depth+rock",958.68031457054,996.271541072175,2.44,0.988,0.061,0.103,0.546,15.96,0,1,0,0,1,0,0,0,0,0
"School.Total.35","Depth+rock+Status",958.797477323787,996.524808702709,2.558,1.241,0.058,0.091,0.547,16.06,0,1,0,0,1,0,0,0,0,1
"School.Total.41","rock+Status+Depth.by.Status",959.204323417976,997.234119717718,2.964,1.951,0.047,0.064,0.548,16.21,0,1,0,0,1,0,0,0,0,1
"Number.of.schools.28","Status+rock.by.Status",481.404810569068,520.420124405168,0,2.616,0.112,0.038,0.413,15.79,0,0,0,0,1,0,0,0,0,1
"Number.of.schools.38","Depth+Status+rock.by.Status",482.322051676354,521.736153799142,0.917,3.932,0.071,0.019,0.413,16.12,0,1,0,0,1,0,0,0,0,1
"Number.of.schools.13","Depth+rock",482.49549790062,519.965231108019,1.091,2.161,0.065,0.047,0.385,14.88,0,1,0,0,1,0,0,0,0,0
"Number.of.schools.5","rock",482.667321286099,520.154344452841,1.263,2.35,0.06,0.043,0.384,14.82,0,0,0,0,1,0,0,0,0,0
"Number.of.schools.10","Status",483.323465635558,517.803907472809,1.919,0,0.043,0.139,0.351,13.66,0,0,0,0,0,0,0,0,0,1
"Number.of.schools.2","Depth",483.348348364263,517.931393895137,1.944,0.127,0.043,0.131,0.349,13.76,0,1,0,0,0,0,0,0,0,0
"Number.of.schools.15","Depth+hard.corals",483.410912125508,519.955985727061,2.006,2.152,0.041,0.047,0.37,14.83,0,1,0,0,0,0,1,0,0,0
"Number.of.schools.16","Depth+Status",483.618985516714,518.402291036051,2.214,0.598,0.037,0.103,0.353,13.85,0,1,0,0,0,0,0,0,0,1
"Number.of.schools.45","Status+Depth.by.Status+rock.by.Status",483.661869440839,523.687028884927,2.257,5.883,0.036,0.007,0.414,16.44,0,1,0,0,1,0,0,0,0,1
"Number.of.schools.35","Depth+rock+Status",483.804980060891,521.783643737741,2.4,3.98,0.034,0.019,0.386,14.9,0,1,0,0,1,0,0,0,0,1
"Number.of.schools.17","sd.relief+rock",483.954287549703,524.984317191151,2.549,7.18,0.031,0.004,0.423,16.36,0,0,0,1,1,0,0,0,0,0
"Number.of.schools.27","Status+Depth.by.Status",484.070704240155,519.323855336699,2.666,1.52,0.03,0.065,0.355,14.17,0,1,0,0,0,0,0,0,0,1
"Number.of.schools.18","sd.relief+hard.corals",484.101517568965,521.581328833693,2.697,3.777,0.029,0.021,0.377,15.6,0,0,0,1,0,0,1,0,0,0
"Number.of.schools.20","rock+Status",484.183705459329,522.243520660339,2.779,4.44,0.028,0.015,0.385,14.81,0,0,0,0,1,0,0,0,0,1
"Number.of.schools.9","reef",484.209728466467,519.706032209235,2.805,1.902,0.028,0.054,0.355,14.32,0,0,0,0,0,0,0,0,1,0
"Number.of.schools.8","sand",484.299432312834,519.772805672238,2.895,1.969,0.026,0.052,0.355,14.29,0,0,0,0,0,0,0,1,0,0
"Number.of.schools.34","Depth+rock+macroalgae",484.38173083007,525.496774691489,2.977,7.693,0.025,0.003,0.422,16.79,0,1,0,0,1,1,0,0,0,0
"Number.of.schools.4","sd.relief",484.394380801785,520.378366639965,2.99,2.574,0.025,0.038,0.358,14.58,0,0,0,1,0,0,0,0,0,0
"Number.of.schools.32","Depth+sd.relief+rock",484.556856748963,525.831577740964,3.152,8.028,0.023,0.003,0.424,16.54,0,1,0,1,1,0,0,0,0,0
"Number.of.schools.26","reef+Status",484.564135287708,520.33421357606,3.159,2.53,0.023,0.039,0.359,14.48,0,0,0,0,0,0,0,0,1,1
"Number.of.schools.25","sand+Status",484.653525388594,520.416988982123,3.249,2.613,0.022,0.038,0.358,14.47,0,0,0,0,0,0,0,1,0,1
"Number.of.schools.33","Depth+sd.relief+hard.corals",484.722041953337,522.531920179242,3.317,4.728,0.021,0.013,0.378,15.81,0,1,0,1,0,0,1,0,0,0
"Number.of.schools.19","rock+macroalgae",484.866239304798,525.981484803083,3.461,8.178,0.02,0.002,0.419,16.69,0,0,0,0,1,1,0,0,0,0
"Number.of.schools.12","Depth+sd.relief",485.001039364799,521.31406128006,3.596,3.51,0.019,0.024,0.359,14.76,0,1,0,1,0,0,0,0,0,0
"Number.of.schools.44","macroalgae+Status+rock.by.Status",485.138863447083,527.569747666864,3.734,9.766,0.017,0.001,0.44,17.53,0,0,0,0,1,1,0,0,0,1
