"","modname","AICc","BIC","r2.vals","r2.vals.unique","edf","edf.less.1","delta.AICc","delta.BIC","wi.AICc","wi.BIC","sand","sd.relief","hard.corals","mean.relief","status","cumsum.wi"
"NA.hard.corals4","hard.corals",278.480591174757,316.310147903673,0.29044,NA,15.93,0,2.401,3.334,0.161,0.116,0,0,1,0,0,0.697
"NA.mean.relief3","mean.relief",279.031983781805,316.241678809953,0.27529,NA,15.4,0,2.953,3.265,0.122,0.12,0,0,0,1,0,0.819
"NA.hard.corals5","hard.corals",117.093510988259,150.488321271047,0.26445,NA,12.72,0,0,0,0.497,0.522,0,0,1,0,0,0.497
"NA.hard.corals+sand3","hard.corals+sand",117.935868194454,153.066400748708,0.28319,NA,13.79,0,0.842,2.578,0.326,0.144,1,0,1,0,0,0.823
"NA.null5","null",706.326984932194,740.895238289156,0.32884,NA,13.9,0,0,0,0.243,0.375,0,0,0,0,0,0.243
"NA.status5","status",706.714191019314,741.577681443221,0.32094,NA,14.08,0,0.387,0.682,0.2,0.267,0,0,0,0,1,0.443
"NA.sand2","sand",706.802075891914,742.976144365723,0.34146,NA,14.9,0,0.475,2.081,0.191,0.133,1,0,0,0,0,0.634
"NA.sand+status2","sand+status",707.008294322053,743.422245943081,0.33337,NA,15.06,0,0.681,2.527,0.173,0.106,1,0,0,0,1,0.807
"NA.mean.relief4","mean.relief",708.741082062933,744.714394911199,0.33125,NA,14.77,0,2.414,3.819,0.073,0.056,0,0,0,1,0,0.88
"NA.hard.corals6","hard.corals",709.157449855486,745.136656228556,0.33088,NA,14.78,0,2.83,4.241,0.059,0.045,0,0,1,0,0,0.939
"NA.status6","status",4806.15456458622,4880.30723789856,0.00668,NA,14.34,0,0,0,0.176,0.444,0,0,0,0,1,0.176
"NA.null6","null",4806.20813597246,4880.57223056189,0.00703,NA,14.41,0,0.054,0.265,0.172,0.389,0,0,0,0,0,0.348
"NA.sand+status3","sand+status",4807.06118913518,4884.878811258,0.00727,NA,15.15,0,0.907,4.572,0.112,0.045,1,0,0,0,1,0.46
"NA.sand3","sand",4807.16748361671,4885.38890822046,0.00754,NA,15.28,0,1.013,5.082,0.106,0.035,1,0,0,0,0,0.566
"NA.hard.corals7","hard.corals",4807.59692157382,4885.78619002718,0.00655,NA,15.26,0,1.442,5.479,0.086,0.029,0,0,1,0,0,0.652
"NA.mean.relief5","mean.relief",4807.983079016,4886.13991979422,0.00705,NA,15.27,0,1.829,5.833,0.071,0.024,0,0,0,1,0,0.723
"NA.sd.relief2","sd.relief",4807.98879496952,4886.17276200722,0.00708,NA,15.28,0,1.834,5.866,0.071,0.024,0,1,0,0,0,0.794
"NA.hard.corals+sand4","hard.corals+sand",4808.04210482428,4890.02372069886,0.00705,NA,16.13,0,1.888,9.716,0.069,0.003,1,0,1,0,0,0.863
"NA.sand.by.status+status1","sand.by.status+status",4808.25313969799,4889.66584528683,0.00726,NA,15.97,0,2.099,9.359,0.062,0.004,1,0,0,0,1,0.925
"NA.hard.corals+mean.relief","hard.corals+mean.relief",4809.13932455105,4891.14891461409,0.00672,NA,16.14,0,2.985,10.842,0.04,0.002,0,0,1,1,0,0.965
"NA.mean.relief6","mean.relief",539.143099512204,575.152706491125,0.12806,NA,14.39,0,0,2.007,0.254,0.153,0,0,0,1,0,0.254
"NA.null7","null",539.637289485942,573.145317473164,0.09974,NA,13.12,0,0.494,0,0.198,0.418,0,0,0,0,0,0.452
"NA.hard.corals8","hard.corals",539.655288634779,577.156334144798,0.11347,NA,14.9,0,0.512,4.011,0.196,0.056,0,0,1,0,0,0.648
"NA.status7","status",540.159753395701,573.902221420221,0.08618,NA,13.21,0,1.017,0.757,0.153,0.286,0,0,0,0,1,0.801
"NA.hard.corals+sand5","hard.corals+sand",541.72406180737,582.2020651884,0.14607,NA,15.85,0,2.581,9.057,0.07,0.005,1,0,1,0,0,0.871
"NA.sd.relief3","sd.relief",541.776462886289,576.657951569329,0.09796,NA,13.96,0,2.633,3.513,0.068,0.072,0,1,0,0,0,0.939
