"mean.relief","sd.relief","Sample","fov.Limited","fov.Open","rock","macroalgae","hard.corals","sand","reef"
1.57534246575342,0.672982209513857,"MaOR1N.3",0.5,99.5,0.438356164383562,0,0.561643835616438,0,1
1.475,0.634610977242732,"MaOR1N.4",0,100,0.341666666666667,0,0.658333333333333,0,1
1.30612244897959,0.592328177478547,"MaOR1N.5",1,99,0.482993197278912,0,0.517006802721088,0,1
1.28571428571429,0.507644640701045,"MaOR1N.6",0,100,0.480519480519481,0,0.519480519480519,0,1
1.21686746987952,0.414616860195234,"MaOR2W.1",0.5,99.5,0.132530120481928,0,0.867469879518072,0,1
1.21505376344086,0.413086535980669,"MaOR2W.2",0,100,0.365591397849462,0,0.634408602150538,0,1
1.11214953271028,0.317035287713276,"MaOR2W.3",0.5,99.5,0.588785046728972,0,0.411214953271028,0,1
1.1505376344086,0.509608472029173,"MaOR2W.4",0,100,0.741935483870968,0,0.258064516129032,0,1
1.45,0.701729465267237,"MaOR2W.5",0.5,99.5,0.69,0,0.31,0,1
2.11764705882353,0.903631755170843,"MaOR2W.6",0,100,0.798319327731092,0,0.201680672268908,0,1
2,0.816496580927726,"MaOR3W.1",0,100,0.716981132075472,0,0.283018867924528,0,1
2.33684210526316,0.693595723743681,"MaOR3W.2",0,100,0.631578947368421,0,0.368421052631579,0,1
2.35483870967742,0.669931230901685,"MaOR3W.3",0,100,0.827956989247312,0,0.172043010752688,0,1
2.02173913043478,0.710645285925423,"MaOR3W.4",0,100,0.673913043478261,0,0.326086956521739,0,1
1.5982905982906,0.670303959098602,"MaOR3W.5",0,100,0.948717948717949,0,0.0512820512820513,0,1
1.8503937007874,0.630932041185835,"MaOR3W.6",0,100,0.913385826771654,0,0.0866141732283465,0,1
1.52702702702703,0.576713017042685,"MoOR1S.1",1,99,0.47972972972973,0.0540540540540541,0.466216216216216,0,1
1.85234899328859,0.756734082736684,"MoOR1S.2",0.5,99.5,0.704697986577181,0.00671140939597315,0.288590604026846,0,1
1.95031055900621,0.796878615568462,"MoOR1S.3",1,99,0.614906832298137,0.0124223602484472,0.372670807453416,0,1
1.67142857142857,0.661835872010546,"MoOR1S.4",0,100,0.7,0.0285714285714286,0.271428571428571,0,1
1.75373134328358,0.687553876649624,"MoOR1S.5",0.5,99.5,0.552238805970149,0,0.447761194029851,0,1
2.05343511450382,0.747436409430329,"MoOR1S.6",0,100,0.259541984732824,0,0.740458015267176,0,1
1.6038961038961,0.66094437455752,"MoOR2S.1",0,100,0.649350649350649,0,0.350649350649351,0,1
1.49358974358974,0.5735772847416,"MoOR2S.2",0,100,0.602564102564103,0,0.397435897435897,0,1
1.36363636363636,0.521663776452331,"MoOR2S.3",1,99,0.623376623376623,0,0.376623376623377,0,1
1.32450331125828,0.5603530895685,"MoOR2S.4",0,100,0.582781456953642,0,0.417218543046358,0,1
1.28947368421053,0.496765417574125,"MoOR2S.5",0,100,0.572368421052632,0,0.427631578947368,0,1
1.43624161073825,0.549227315355421,"MoOR2S.6",0,100,0.577181208053691,0,0.422818791946309,0,1
1.07594936708861,0.266609860875889,"MoOR3N.1",0,100,0.746835443037975,0,0.253164556962025,0,1
1.4954128440367,0.571285963468144,"MoOR3N.2",0,100,0.660550458715596,0,0.339449541284404,0,1
1.36893203883495,0.656644638758673,"MoOR3N.3",0.5,99.5,0.631067961165049,0,0.368932038834951,0,1
1.50909090909091,0.554306816398273,"MoOR3N.4",2,98,0.427272727272727,0,0.572727272727273,0,1
1.08,0.272659924344291,"MoOR3N.5",0,100,0.6,0,0.4,0,1
1.14285714285714,0.377964473009227,"MoOR3N.6",1,99,0.40952380952381,0,0.59047619047619,0,1
1.38947368421053,0.588809416157242,"MoOR4N.1",0,100,0.231578947368421,0,0.768421052631579,0,1
1.39,0.510396953855576,"MoOR4N.2",0,100,0.45,0,0.55,0,1
1.28571428571429,0.517726990906792,"MoOR4N.3",0.5,99.5,0.63265306122449,0,0.36734693877551,0,1
1.5929203539823,0.676614050960381,"MoOR4N.4",1,99,0.309734513274336,0,0.690265486725664,0,1
1.359375,0.557474267617007,"MoOR4N.5",0,100,0.5078125,0,0.4921875,0,1
1.23478260869565,0.483598259806497,"MoOR4N.6",0,100,0.730434782608696,0,0.269565217391304,0,1
2.38888888888889,0.534105246633936,"NIL2.1",0,100,0.588888888888889,0.0333333333333333,0.377777777777778,0,1
2.57142857142857,0.804747816162956,"NIL2.2",0,100,0.21978021978022,0,0.758241758241758,0.021978021978022,0.978021978021978
1.87619047619048,0.906124865050216,"NIL2.3",0,100,0.219047619047619,0,0.495238095238095,0.285714285714286,0.714285714285714
1.79591836734694,0.941146303398909,"NIL2.4",0,100,0.0102040816326531,0,0.744897959183674,0.244897959183673,0.755102040816327
2.03883495145631,0.917395397649871,"NIL2.5",0,100,0.135922330097087,0,0.621359223300971,0.242718446601942,0.757281553398058
2.2970297029703,0.714766457739107,"NIL2.6",0,100,0.316831683168317,0,0.603960396039604,0.0792079207920792,0.920792079207921
2.40816326530612,0.757597051642407,"NIL3.1",0,100,0.642857142857143,0.0408163265306122,0.306122448979592,0.0102040816326531,0.989795918367347
2.54639175257732,0.6617624598484,"NIL3.2",0,100,0.0824742268041237,0,0.855670103092783,0.0618556701030928,0.938144329896907
2.11650485436893,0.831971092938936,"NIL3.3",0,100,0.116504854368932,0,0.718446601941748,0.16504854368932,0.83495145631068
2.15789473684211,1.11356719506576,"NIL3.4",0,100,0.037593984962406,0,0.691729323308271,0.270676691729323,0.729323308270677
1.46296296296296,1.1226298057946,"NIL3.5",0,100,0.0277777777777778,0,0.425925925925926,0.546296296296296,0.453703703703704
1.81739130434783,1.23957129470659,"NIL3.6",0,100,0,0,0.617391304347826,0.382608695652174,0.617391304347826
2.34831460674157,0.641396268016215,"NIR1.1",2,97.5,0.460674157303371,0,0.539325842696629,0,1
2.11428571428571,0.750823723477265,"NIR1.2",0,100,0.419047619047619,0,0.580952380952381,0,1
2.43,0.794615719334913,"NIR1.3",2.5,97.5,0.38,0,0.62,0,1
2.22429906542056,0.571466356410027,"NIR1.4",0,100,0.392523364485981,0,0.607476635514019,0,1
2.21428571428571,0.591662361541065,"NIR1.5",1.5,98.5,0.508928571428571,0,0.491071428571429,0,1
2.33009708737864,0.677196491810793,"NIR1.6",0,100,0.398058252427184,0,0.601941747572815,0,1
2.47674418604651,0.568315243630039,"NIR2.1",0,100,0.127906976744186,0,0.872093023255814,0,1
2.11340206185567,0.659486679480618,"NIR2.2",0,100,0.45360824742268,0,0.54639175257732,0,1
