"CampaignID","OpCode","Depth","Location","Status","Site","Observer","Region","Reef.Lagoon"
"2016-07_Moorea.MPA.behaviour_stereoDOVs","TeIL4",1.5,"Tetaiuo","No-take","TeIL4","Brooke Gibbons","Northwest","Lagoon"
"2016-07_Moorea.MPA.behaviour_stereoDOVs","TeOL4N",1.4,"Tetaiuo","Fished","TeOL4N","Ellen D'Cruz","Northwest","Lagoon"
"2016-07_Moorea.MPA.behaviour_stereoDOVs","TeOL3N",0.8,"Tetaiuo","Fished","TeOL3N","Brooke Gibbons","Northwest","Lagoon"
"2016-07_Moorea.MPA.behaviour_stereoDOVs","TiOL4W",0.8,"Tiahura","Fished","TiOL4W","Ellen D'Cruz","Northwest","Lagoon"
"2016-07_Moorea.MPA.behaviour_stereoDOVs","TiOL3W",0.8,"Tiahura","Fished","TiOL3W","Ellen D'Cruz","Northwest","Lagoon"
"2016-07_Moorea.MPA.behaviour_stereoDOVs","TiIL1",1.3,"Tiahura","No-take","TiIL1","Brooke Gibbons","Northwest","Lagoon"
"2016-07_Moorea.MPA.behaviour_stereoDOVs","TiIL2",0.9,"Tiahura","No-take","TiIL2","Brooke Gibbons","Northwest","Lagoon"
"2016-07_Moorea.MPA.behaviour_stereoDOVs","TiIL3",1.3,"Tiahura","No-take","TiIL3","Brooke Gibbons","Northwest","Lagoon"
"2016-07_Moorea.MPA.behaviour_stereoDOVs","TiIL4",0.8,"Tiahura","No-take","TiIL4","Brooke Gibbons","Northwest","Lagoon"
"2016-07_Moorea.MPA.behaviour_stereoDOVs","MaOL1N",0.8,"Maatea","Fished","MaOL1N","Ellen D'Cruz","South","Lagoon"
"2016-07_Moorea.MPA.behaviour_stereoDOVs","MaOL2N",1.3,"Maatea","Fished","MaOL2N","Ellen D'Cruz","South","Lagoon"
"2016-07_Moorea.MPA.behaviour_stereoDOVs","MaIL2",1.6,"Maatea","No-take","MaIL2","Brooke Gibbons","South","Lagoon"
"2016-07_Moorea.MPA.behaviour_stereoDOVs","MaIL3",1.6,"Maatea","No-take","MaIL3","Brooke Gibbons","South","Lagoon"
"2016-07_Moorea.MPA.behaviour_stereoDOVs","MaOL3W",1.6,"Maatea","Fished","MaOL3W","Ellen D'Cruz","South","Lagoon"
"2016-07_Moorea.MPA.behaviour_stereoDOVs","NOR2S",7.1,"Nuarei","Fished","NOR2S","Ellen D'Cruz","Northeast","Reef"
"2016-07_Moorea.MPA.behaviour_stereoDOVs","NIR1",7.1,"Nuarei","No-take","NIR1","Brooke Gibbons","Northeast","Reef"
"2016-07_Moorea.MPA.behaviour_stereoDOVs","NIR2",7,"Nuarei","No-take","NIR2","Brooke Gibbons","Northeast","Reef"
"2016-07_Moorea.MPA.behaviour_stereoDOVs","NOR3S",6.6,"Nuarei","Fished","NOR3S","Ellen D'Cruz","Northeast","Reef"
"2016-07_Moorea.MPA.behaviour_stereoDOVs","TiIR1",6.8,"Tiahura","No-take","TiIR1","Brooke Gibbons","Northwest","Reef"
"2016-07_Moorea.MPA.behaviour_stereoDOVs","TiIR4",6.7,"Tiahura","No-take","TiIR4","Brooke Gibbons","Northwest","Reef"
"2016-07_Moorea.MPA.behaviour_stereoDOVs","TiIR3",7.3,"Tiahura","No-take","TiIR3","Brooke Gibbons","Northwest","Reef"
"2016-07_Moorea.MPA.behaviour_stereoDOVs","TiOR2E",6.6,"Tiahura","Fished","TiOR2E","Ellen D'Cruz","Northwest","Reef"
"2016-07_Moorea.MPA.behaviour_stereoDOVs","TiOR3E",6.6,"Tiahura","Fished","TiOR3E","Ellen D'Cruz","Northwest","Reef"
