Periods

Generated: Wednesday, May 03, 2017 08:12:50

Period	Start filename	Start frame	Start time (mins)	End filename	End frame	End time (mins)	Period length (mins)	OpCode	Tape Reader	Depth	Comment								
5	NOL4S_L461.avi	  91119	  25.3362	NOL4S_L461.avi	  98377	  27.3543	   2.0181	NOL4S	Ellen										
6	NOL4S_L461.avi	 108058	  30.0462	NOL4S_L461.avi	 114835	  31.9305	   1.8844	NOL4S	Ellen										
1	TeOR1N_L461.avi	  36999	  10.2775	TeOR1N_L461.avi	  44984	  12.4955	   2.2180	TeOR1N	Ellen										
2	TeOR1N_L461.avi	  47598	  13.2216	TeOR1N_L461.avi	  54825	  15.2291	   2.0075	TeOR1N	Ellen										
3	TeOR1N_L461.avi	  57231	  15.8974	TeOR1N_L461.avi	  63187	  17.5519	   1.6544	TeOR1N	Ellen										
4	TeOR1N_L461.avi	  66548	  18.4855	TeOR1N_L461.avi	  74446	  20.6794	   2.1939	TeOR1N	Ellen										
5	TeOR1N_L461.avi	  77416	  21.5044	TeOR1N_L461.avi	  84401	  23.4446	   1.9403	TeOR1N	Ellen										
6	TeOR1N_L461.avi	  85855	  23.8485	TeOR1N_L461.avi	  94529	  26.2580	   2.4094	TeOR1N	Ellen										
1	TiIR3_L461.avi	  36751	  10.2188	TiIR3_L461.avi	  42208	  11.7362	   1.5174	TiIR3	Brooke										
2	TiIR3_L461.avi	  45684	  12.7027	TiIR3_L461.avi	  51902	  14.4317	   1.7290	TiIR3	Brooke										
3	TiIR3_L461.avi	  55191	  15.3462	TiIR3_L461.avi	  60984	  16.9570	   1.6108	TiIR3	Brooke										
4	TiIR3_L461.avi	  63903	  17.7686	TiIR3_L461.avi	  70520	  19.6085	   1.8399	TiIR3	Brooke										
5	TiIR3_L461.avi	  75224	  20.9165	TiIR3_L461.avi	  82194	  22.8545	   1.9380	TiIR3	Brooke										
6	TiIR3_L461.avi	  86093	  23.9387	TiIR3_L461.avi	  93170	  25.9065	   1.9678	TiIR3	Brooke										
1	MaOR2W_L461.avi	  62109	  17.2698	MaOR2W_L461.avi	  70074	  19.4845	   2.2147	MaOR2W	Ellen										
2	MaOR2W_L461.avi	  71993	  20.0181	MaOR2W_L461.avi	  79643	  22.1452	   2.1271	MaOR2W	Ellen										
3	MaOR2W_L461.avi	  81520	  22.6671	MaOR2W_L461.avi	  88620	  24.6413	   1.9742	MaOR2W	Ellen										
4	MaOR2W_L461.avi	  91978	  25.5750	MaOR2W_L461.avi	  98947	  27.5128	   1.9378	MaOR2W	Ellen										
5	MaOR2W_L461.avi	 103850	  28.8761	MaOR2W_L461.avi	 114890	  31.9458	   3.0697	MaOR2W	Ellen										
6	MaOR2W_L461.avi	 117402	  32.6443	MaOR2W_L461.avi	 125043	  34.7689	   2.1246	MaOR2W	Ellen										
1	TiOR4E_L461.avi	  29996	   8.3406	TiOR4E_L461.avi	  35858	   9.9705	   1.6300	TiOR4E	Ellen										
2	TiOR4E_L461.avi	  38068	  10.5850	TiOR4E_L461.avi	  44208	  12.2923	   1.7073	TiOR4E	Ellen										
3	TiOR4E_L461.avi	  49141	  13.6639	TiOR4E_L461.avi	  56347	  15.6676	   2.0037	TiOR4E	Ellen										
4	TiOR4E_L461.avi	  59037	  16.4156	TiOR4E_L461.avi	  64086	  17.8195	   1.4039	TiOR4E	Ellen										
5	TiOR4E_L461.avi	  66808	  18.5764	TiOR4E_L461.avi	  74071	  20.5959	   2.0195	TiOR4E	Ellen										
6	TiOR4E_L461.avi	  77136	  21.4481	TiOR4E_L461.avi	  83488	  23.2143	   1.7662	TiOR4E	Ellen										
1	TeIL4_L461.avi	  29286	   8.1431	TeIL4_L461.avi	  37857	  10.5264	   2.3832	TeIL4	Brooke										
2	TeIL4_L461.avi	  42029	  11.6864	TeIL4_L461.avi	  50043	  13.9147	   2.2283	TeIL4	Brooke										
3	TeIL4_L461.avi	  53324	  14.8270	TeIL4_L461.avi	  62378	  17.3446	   2.5175	TeIL4	Brooke										
4	TeIL4_L461.avi	  66322	  18.4412	TeIL4_L461.avi	  76132	  21.1689	   2.7277	TeIL4	Brooke										
5	TeIL4_L461.avi	  80005	  22.2459	TeIL4_L461.avi	  88773	  24.6839	   2.4380	TeIL4	Brooke										
6	TeIL4_L461.avi	  93296	  25.9415	TeIL4_L461.avi	 100596	  27.9713	   2.0298	TeIL4	Brooke										
1	NOL2S_L461.avi	  27514	   7.6504	NOL2S_L461.avi	  34252	   9.5240	   1.8735	NOL2S	Ellen										
2	NOL2S_L461.avi	  41751	  11.6091	NOL2S_L461.avi	  48184	  13.3978	   1.7887	NOL2S	Ellen										
3	NOL2S_L461.avi	  53696	  14.9305	NOL2S_L461.avi	  60757	  16.8938	   1.9634	NOL2S	Ellen										
4	NOL2S_L461.avi	  73121	  20.3317	NOL2S_L461.avi	  81270	  22.5976	   2.2659	NOL2S	Ellen										
5	NOL2S_L461.avi	 129082	  35.8920	NOL2S_L461.avi	 135546	  37.6894	   1.7974	NOL2S	Ellen										
6	NOL2S_L461.avi	 137956	  38.3595	NOL2S_L461.avi	 144044	  40.0523	   1.6928	NOL2S	Ellen										
1	NIL3_L461.avi	  59595	  16.5707	NIL3_L461.avi	  65024	  18.0803	   1.5096	NIL3	Brooke										
2	NIL3_L461.avi	  67208	  18.6876	NIL3_L461.avi	  72908	  20.2725	   1.5849	NIL3	Brooke										
3	NIL3_L461.avi	  75696	  21.0477	NIL3_L461.avi	  80598	  22.4107	   1.3630	NIL3	Brooke										
4	NIL3_L461.avi	  82901	  23.0511	NIL3_L461.avi	  90350	  25.1223	   2.0712	NIL3	Brooke										
5	NIL3_L461.avi	  94791	  26.3572	NIL3_L461.avi	 100673	  27.9927	   1.6355	NIL3	Brooke										
6	NIL3_L461.avi	 104430	  29.0374	NIL3_L461.avi	 110787	  30.8050	   1.7676	NIL3	Brooke										
1	PIL2_L461.avi	  26959	   7.4961	PIL2_L461.avi	  38475	  10.6982	   3.2021	PIL2	Brooke										
2	PIL2_L461.avi	  48884	  13.5925	PIL2_L461.avi	  58504	  16.2674	   2.6749	PIL2	Brooke										
3	PIL2_L461.avi	  65509	  18.2152	PIL2_L461.avi	  80036	  22.2545	   4.0393	PIL2	Brooke										
4	PIL2_L461.avi	  88799	  24.6911	PIL2_L461.avi	  98820	  27.4775	   2.7864	PIL2	Brooke										
5	PIL2_L461.avi	 109478	  30.4410	PIL2_L461.avi	 120739	  33.5722	   3.1312	PIL2	Brooke										
6	PIL2_L461.avi	 129210	  35.9276	PIL2_L461.avi	 144191	  40.0931	   4.1656	PIL2	Brooke										
1	TeIR1_L461.avi	  28465	   7.9149	TeIR1_L461.avi	  35850	   9.9683	   2.0534	TeIR1	Brooke										
2	TeIR1_L461.avi	  39334	  10.9370	TeIR1_L461.avi	  47594	  13.2338	   2.2967	TeIR1	Brooke										
3	TeIR1_L461.avi	  50383	  14.0093	TeIR1_L461.avi	  57942	  16.1111	   2.1018	TeIR1	Brooke										
4	TeIR1_L461.avi	  60947	  16.9467	TeIR1_L461.avi	  69456	  19.3126	   2.3660	TeIR1	Brooke										
5	TeIR1_L461.avi	  72519	  20.1643	TeIR1_L461.avi	  81398	  22.6332	   2.4689	TeIR1	Brooke										
6	TeIR1_L461.avi	  84176	  23.4056	TeIR1_L461.avi	  94291	  26.2182	   2.8125	TeIR1	Brooke										
1	TaOR1S_L461.avi	  31230	   8.6750	TaOR1S_L461.avi	  38448	  10.6800	   2.0050	TaOR1S	Ellen										
2	TaOR1S_L461.avi	  43458	  12.0716	TaOR1S_L461.avi	  50675	  14.0763	   2.0047	TaOR1S	Ellen										
