3D Point and Length Measurements

Generated: Tuesday, February 12, 2019 13:05:27

Filename	Frame	Time (mins)	Period	Period time (mins)	Length (mm)	Precision (mm)	RMS (mm)	Range (mm)	Direction (deg)	Horz. Dir. (deg)	Vert. Dir. (deg)	Mid X (mm)	Mid Y (mm)	Mid Z (mm)	OpCode	TapeReader	Depth	Comment									Family	Genus	Species	Code	Number	Stage	Activity	Comment	MAD	Incoming
MaOL1N_L461.avi	  31589	   8.7747	1	   1.4747	155.582	14.069	1.109	4879.722	16.624	17.565	3.552	1386.719	-161.069	-4675.762	MaOL1N	Ellen											Labridae	Halichoeres	hortulanus	37384112	1	AD	Passing		1.16	
MaOL1N_L461.avi	  31922	   8.8672	1	   1.5672	130.422	10.711	0.523	5678.141	12.406	1.311	3.232	-1215.210	106.702	-5545.554	MaOL1N	Ellen											Scaridae	Chlorurus	sordidus	37386030	1	AD	Passing			
MaOL1N_L461.avi	  32103	   8.9175	1	   1.6175	125.919	2.373	9.615	3296.098	4.458	1.613	19.639	-252.303	-44.653	-3286.124	MaOL1N	Ellen											Chaetodontidae	Chaetodon	lunulatus	37365059	1	AD	Passing	same species school (2) C	0.92	
MaOL1N_L461.avi	  32209	   8.9469	1	   1.6469	118.577	3.920	4.647	3038.236	5.792	14.947	16.114	-77.193	296.737	-3022.725	MaOL1N	Ellen											Chaetodontidae	Chaetodon	lunulatus	37365059	1	AD	Passing	same species school (2) C		
MaOL1N_L461.avi	  32671	   9.0752	1	   1.7753	173.294	12.637	2.071	5832.704	12.841	6.040	1.366	1296.135	18.248	-5686.838	MaOL1N	Ellen											Scaridae	Scarus	psittacus	37386024	1	AD	Passing			
MaOL1N_L461.avi	  32717	   9.0880	1	   1.7880	148.227	20.878	15.246	5040.938	23.487	29.664	3.601	2003.534	-148.706	-4623.289	MaOL1N	Ellen											Scaridae	Chlorurus	sordidus	37386030	1	AD	Passing		1.33	
MaOL1N_L461.avi	  32753	   9.0980	1	   1.7980	139.368	9.747	10.255	2857.414	27.652	69.608	5.352	1325.230	-48.471	-2531.054	MaOL1N	Ellen											Labridae	Thalassoma	hardwicke	37384165	1	AD	Passing			
MaOL1N_L461.avi	  32807	   9.1130	1	   1.8130		10.304	2.668	4725.379	14.833			1196.047	-156.268	-4568.835	MaOL1N	Ellen											Scaridae	Chlorurus	sordidus	37386030	1	AD	Passing			
MaOL1N_L461.avi	  32900	   9.1389	1	   1.8389	183.947	20.958	3.884	4353.744	20.464	50.437	4.311	1490.775	-307.437	-4078.990	MaOL1N	Ellen											Scaridae	Scarus	globiceps	37386018	1	AD	Passing			
MaOL1N_L461.avi	  32909	   9.1414	1	   1.8414	158.992	10.523	5.961	3292.489	21.889	41.106	7.298	1165.373	-385.410	-3055.135	MaOL1N	Ellen											Labridae	Gomphosus	varius	37384106	1	AD	Passing			
MaOL1N_L461.avi	  32941	   9.1502	1	   1.8503		27.611	3.601	8328.563	3.793			-549.402	4.330	-8310.421	MaOL1N	Ellen											Acanthuridae	Ctenochaetus	striatus	37437022	1	AD	Passing			
MaOL1N_L461.avi	  32985	   9.1625	1	   1.8625		21.963	0.203	7383.440	3.976			-511.890	37.698	-7365.577	MaOL1N	Ellen											Scaridae	Scarus	globiceps	37386018	1	AD	Passing			
MaOL1N_L461.avi	  33099	   9.1941	1	   1.8942		23.025	11.003	7253.150	11.980			-1505.577	44.495	-7095.030	MaOL1N	Ellen											Scaridae	Chlorurus	sordidus	37386030	1	AD	Passing			
MaOL1N_L461.avi	  33138	   9.2050	1	   1.9050		21.189	0.446	7348.253	0.310			-31.302	15.521	-7348.170	MaOL1N	Ellen											Scaridae	Chlorurus	sordidus	37386030	1	AD	Passing			
MaOL1N_L461.avi	  33223	   9.2286	1	   1.9286	184.588	8.440	6.993	4199.372	11.709	14.295	1.236	833.768	-176.531	-4111.982	MaOL1N	Ellen											Scaridae	Scarus	globiceps	37386018	1	AD	Passing			
MaOL1N_L461.avi	  33235	   9.2319	1	   1.9319		16.246	3.783	6201.936	7.182			-774.194	-9.579	-6153.417	MaOL1N	Ellen											Scaridae	Chlorurus	sordidus	37386030	1	AD	Passing			
MaOL1N_L461.avi	  33235	   9.2319	1	   1.9319		21.743	1.679	7443.681	1.001			120.329	-8.820	-7442.703	MaOL1N	Ellen											Scaridae	Chlorurus	sordidus	37386030	1	AD	Passing			
MaOL1N_L461.avi	  33274	   9.2427	1	   1.9428	208.935	14.252	1.225	5216.214	18.490	10.021	4.649	-1654.107	-24.949	-4946.939	MaOL1N	Ellen											Scaridae	Chlorurus	sordidus	37386030	1	AD	Passing			
MaOL1N_L461.avi	  33278	   9.2439	1	   1.9439	185.024	19.137	2.984	5922.796	21.941	2.901	2.102	-2210.540	-105.047	-5493.814	MaOL1N	Ellen											Scaridae	Chlorurus	sordidus	37386030	1	AD	Passing			
MaOL1N_L461.avi	  33417	   9.2825	1	   1.9825	253.258	20.752	8.233	5380.022	17.069	25.050	4.383	-1564.266	-216.078	-5143.055	MaOL1N	Ellen											Scaridae	Scarus	psittacus	37386024	1	AD	Passing			
MaOL1N_L461.avi	  33470	   9.2972	1	   1.9972		17.266	6.309	6277.390	10.094			-992.725	-440.615	-6182.717	MaOL1N	Ellen											Scaridae	Chlorurus	sordidus	37386030	1	AD	Passing			
MaOL1N_L461.avi	  33501	   9.3058	1	   2.0058		20.902	1.568	6934.906	9.493			-887.123	-684.598	-6843.775	MaOL1N	Ellen											Acanthuridae	Ctenochaetus	striatus	37437022	1	AD	Passing			
MaOL1N_L461.avi	  33501	   9.3058	1	   2.0058		19.550	5.551	6894.271	6.178			-81.388	-700.116	-6858.147	MaOL1N	Ellen											Scaridae	Chlorurus	sordidus	37386030	1	AD	Passing			
MaOL1N_L461.avi	  33602	   9.3339	1	   2.0339		17.853	5.382	6543.326	6.809			-211.789	-710.853	-6501.150	MaOL1N	Ellen											Scaridae	Chlorurus	sordidus	37386030	1	AD	Passing			
MaOL1N_L461.avi	  33602	   9.3339	1	   2.0339		26.276	1.267	7899.071	7.838			672.311	-798.965	-7829.750	MaOL1N	Ellen											Scaridae	Chlorurus	sordidus	37386030	1	AD	Passing			
