OpCode	ImagePtPair	Index	Lx	Ly	Rx	Ry
MaIL2	22	0	469.55186	715.08532	544.53265	729.82935
MaIL2	23	0	1208.64533	712.00683	1156.51985	742.83618
MaIL2	23	1	1294.68886	708.93515	1240.10499	743.45051
MaIL2	24	0	1337.09603	664.70307	1345.81562	701.06143
MaIL2	24	1	1408.38924	654.87372	1423.25480	690.61775
MaIL2	25	0	603.53393	711.39932	651.47247	726.14334
MaIL2	25	1	660.07682	710.17065	710.47375	731.05802
MaIL2	26	0	275.33931	662.25256	372.44558	673.31058
MaIL2	27	0	733.82843	651.19454	795.28809	672.08191
MaIL2	27	1	792.82971	662.25256	846.91421	683.13993
MaIL2	28	0	620.74264	635.22184	674.82714	654.88055
MaIL2	29	0	1128.71831	676.90785	1138.23303	707.71331
MaIL2	29	1	1193.25096	663.39249	1199.69270	694.19795
MaIL2	30	0	800.20487	734.74403	792.82971	754.40273
MaIL2	30	1	876.41485	737.20137	857.97695	759.31741
MaIL2	31	0	943.82202	578.24915	1013.71831	603.45051
MaIL2	31	1	990.53137	579.47782	1062.27145	605.90785
MaIL2	32	0	98.33547	697.88396	169.62868	704.02730
MaIL2	32	1	158.56594	686.82594	218.79641	697.88396
MaIL2	33	0	752.26633	614.33447	862.89373	638.90785
MaIL2	34	0	283.94366	680.68259	304.83995	690.51195
MaIL2	34	1	340.48656	676.99659	365.07042	688.05461
MaIL2	35	0	1066.93982	699.11263	1103.81562	726.14334
MaIL2	35	1	1130.85787	700.34130	1165.27529	732.28669
MaIL2	36	0	1240.09347	676.32082	1290.93726	710.33447
MaIL2	36	1	1300.32394	683.07850	1346.86556	719.54949
MaIL2	37	0	617.05506	568.87372	687.11908	588.53242
MaIL2	37	1	669.91037	571.33106	738.74520	594.67577
MaIL2	38	0	549.44942	576.24573	628.11780	595.90444
MaIL2	39	0	1366.86300	764.23208	1295.56978	799.86348
MaIL2	39	1	1456.59411	780.20478	1379.15493	819.52218
MaIL2	40	0	706.78617	546.75768	748.57875	571.33106
MaIL2	40	1	762.09987	560.27304	801.43406	582.38908
MaIL2	41	0	817.41357	593.44710	898.54033	620.47782
MaIL2	42	0	1291.88220	695.42662	1343.50832	726.14334
MaIL2	42	1	1361.94622	705.25597	1417.25992	744.57338
MaIL2	43	0	1322.61204	680.68259	1424.63508	718.77133
MaIL2	43	1	1374.23816	684.36860	1482.40717	723.68601
MaIL2	44	0	1573.36748	887.09898	806.35083	921.50171
MaIL2	45	0	1473.80282	625.39249	1562.30474	665.93857
MaIL2	46	0	1349.65429	603.27645	1478.71959	641.36519
MaIL2	47	0	264.27657	686.82594	7.37516	688.05461
MaIL2	47	1	329.42382	690.51195	76.20999	691.74061
MaIL2	48	0	1599.18054	638.90785	1648.34827	683.13993
MaIL2	49	0	1537.72087	662.25256	1585.65941	702.79863
MaIL2	49	1	1607.78489	658.56655	1664.32778	702.79863
MaIL2	50	0	1677.84891	662.25256	1730.70423	707.71331
MaIL2	51	0	130.29449	533.24232	197.90013	547.98635
MaIL2	52	0	916.29193	654.30717	917.36492	678.60751
MaIL2	52	1	859.13444	637.72014	862.66581	660.17747
MaIL2	53	0	751.66709	639.67918	750.75032	659.29352
MaIL2	53	1	706.18694	615.72014	707.11396	636.56314
MaIL2	54	0	342.94494	639.60751	253.82843	649.15017
