OpCode	PeriodIndex	Period	FilenameStart	FrameStart	TimeStart	FilenameEnd	FrameEnd	TimeEnd	HasEnd
NOR3S	3	4	NOR3S_L461.avi	50879	14.13300	NOR3S_L461.avi	58231	16.17521	1
NOR3S	4	5	NOR3S_L461.avi	61515	17.08743	NOR3S_L461.avi	68471	19.01965	1
NOR3S	5	6	NOR3S_L461.avi	71102	19.75048	NOR3S_L461.avi	78939	21.92741	1
POL3W	0	1	POL3W_L461.avi	77397	21.52062	POL3W_L461.avi	84848	23.59241	1
POL3W	1	2	POL3W_L461.avi	94088	26.16164	POL3W_L461.avi	101605	28.25178	1
POL3W	2	3	POL3W_L461.avi	108453	30.15590	POL3W_L461.avi	115476	32.10868	1
POL3W	3	4	POL3W_L461.avi	121958	33.91103	POL3W_L461.avi	130340	36.24169	1
POL3W	4	5	POL3W_L461.avi	144203	40.09637	POL3W_L461.avi	152327	42.35528	1
POL3W	5	6	POL3W_L461.avi	168755	46.92317	POL3W_L461.avi	175596	48.82535	1
POL4W	0	1	POL4W_L461.avi	44168	12.28113	POL4W_L461.avi	53692	14.92933	1
POL4W	1	2	POL4W_L461.avi	60219	16.74419	POL4W_L461.avi	67623	18.80291	1
POL4W	2	3	POL4W_L461.avi	73902	20.54882	POL4W_L461.avi	82556	22.95511	1
POL4W	3	4	POL4W_L461.avi	89562	24.90316	POL4W_L461.avi	97002	26.97189	1
POL4W	4	5	POL4W_L461.avi	102856	28.59963	POL4W_L461.avi	110513	30.72869	1
POL4W	5	6	POL4W_L461.avi	120154	33.40942	POL4W_L461.avi	125323	34.84669	1
TaOL1N	0	1	TaOL1N_L461.avi	31686	8.80163	TaOL1N_L461.avi	39295	10.91523	1
TaOL1N	1	2	TaOL1N_L461.avi	42919	11.92190	TaOL1N_L461.avi	51152	14.20883	1
TaOL1N	2	3	TaOL1N_L461.avi	55809	15.50244	TaOL1N_L461.avi	64603	17.94521	1
TaOL1N	3	4	TaOL1N_L461.avi	68229	18.95242	TaOL1N_L461.avi	75338	20.92714	1
TaOL1N	4	5	TaOL1N_L461.avi	79449	22.06908	TaOL1N_L461.avi	85659	23.79407	1
TaOL1N	5	6	TaOL1N_L461.avi	92157	25.59906	TaOL1N_L461.avi	99613	27.67017	1
TaOR1S	0	1	TaOR1S_L461.avi	31230	8.67497	TaOR1S_L461.avi	38448	10.67996	1
TaOR1S	1	2	TaOR1S_L461.avi	43458	12.07162	TaOR1S_L461.avi	50675	14.07633	1
TaOR1S	2	3	TaOR1S_L461.avi	54502	15.13938	TaOR1S_L461.avi	61982	17.21715	1
TaOR1S	3	4	TaOR1S_L461.avi	65715	18.25409	TaOR1S_L461.avi	72482	20.13381	1
TaOR1S	4	5	TaOR1S_L461.avi	76520	21.25547	TaOR1S_L461.avi	83938	23.31602	1
TaOR1S	5	6	TaOR1S_L461.avi	88037	24.45462	TaOR1S_L461.avi	94576	26.27101	1
TeOL4N	0	1	TeOL4N_L461.avi	10579	2.93860	TeOL4N_L461.avi	20639	5.73303	1
TeOL4N	1	2	TeOL4N_L461.avi	24882	6.91164	TeOL4N_L461.avi	33661	9.35024	1
TeOL4N	2	3	TeOL4N_L461.avi	37464	10.40663	TeOL4N_L461.avi	45761	12.71134	1
TeOL4N	3	4	TeOL4N_L461.avi	49482	13.74495	TeOL4N_L461.avi	58458	16.23827	1
