OpCode	ImagePtPair	Index	Lx	Ly	Rx	Ry
NOL3S	97	1	785.21442	409.21968	795.37798	430.97712
NOL3S	98	0	1356.74308	482.91762	1333.57824	509.46453
NOL3S	98	1	1429.68577	487.27460	1416.25692	513.82151
NOL3S	99	0	543.68706	483.35469	538.77849	508.00229
NOL3S	99	1	599.78493	486.93364	607.70316	508.15789
NOL3S	100	0	244.79073	416.43021	271.98970	447.32265
NOL3S	101	0	175.17407	435.69231	239.84874	455.80769
NOL3S	101	1	218.39136	418.96154	277.87995	437.92308
NOL3S	102	0	162.51384	376.04119	176.04121	400.35927
NOL3S	102	1	210.88474	377.28604	231.67547	401.91533
NOL3S	103	0	337.51449	407.78032	329.70380	427.33181
NOL3S	103	1	258.88667	424.97712	253.97939	448.18307
NOL3S	104	0	149.04121	417.52403	143.86220	441.28146
NOL3S	104	1	208.07534	405.54233	188.06053	425.40961
NOL3S	105	0	210.48422	466.35927	221.23052	477.33410
NOL3S	105	1	134.60528	470.71625	152.61494	495.69565
NOL3S	106	0	343.69607	554.82838	307.84288	569.65675
NOL3S	107	0	1279.85086	845.39229	1085.43021	870.61224
NOL3S	107	1	1318.24474	854.79819	1111.12811	893.87755
NOL3S	108	0	1342.08604	985.99093	1045.37859	1000.58957
NOL3S	108	1	1412.90822	965.48299	972.56788	1022.48526
NOL3S	109	0	1409.20459	1003.16327	1074.08413	1053.94104
NOL3S	109	1	1454.94073	982.03855	1107.43021	1026.80272
NOL3S	110	0	1384.30975	924.66893	1120.48566	965.26304
NOL3S	110	1	1425.76291	950.41950	1141.74761	993.01814
NOL3S	111	0	1416.72467	902.71655	1170.31166	957.92517
NOL3S	111	1	1413.97132	933.55556	1169.24092	986.45125
NOL3S	112	0	1533.12428	938.58957	1271.86616	997.05215
NOL3S	112	1	1528.38241	962.95238	1238.97897	1013.39683
NOL3S	113	0	1308.64245	874.27891	1064.62715	907.34694
NOL3S	113	1	1354.53155	889.46712	1087.87763	928.16327
NOL3S	114	0	1559.00574	984.48980	1260.91013	1040.06349
NOL3S	114	1	1603.05927	1012.65306	1278.65392	1070.28571
NOL3S	115	0	1422.37667	831.76417	1215.96941	868.75737
NOL3S	115	1	1498.24665	887.89116	1268.89484	937.68254
NOL3S	116	0	791.97479	499.38462	781.51020	521.30769
NOL3S	116	1	853.05522	496.50000	840.28571	519.00000
NOL3S	117	0	203.13576	542.93878	215.37285	552.28571
NOL3S	117	1	272.27533	536.20408	283.28872	552.89796
NOL3S	118	0	113.80497	584.08163	139.50287	593.87755
NOL3S	119	0	46.50096	587.75510	61.18547	600.00000
NOL3S	120	0	154.18738	642.85714	141.95029	653.87755
NOL3S	121	0	248.41300	607.34694	220.26769	614.69388
NOL3S	122	0	729.62715	407.44898	744.77247	436.46939
NOL3S	122	1	788.97706	416.63265	797.39197	437.69388
NOL3S	123	0	1276.46939	439.61538	1386.84634	469.53846
NOL3S	123	1	1219.42257	446.53846	1327.49460	474.73077
NOL3S	124	0	528.78011	415.10204	543.28681	437.55102
NOL3S	124	1	478.60803	416.32653	491.27916	439.38776
NOL3S	125	0	436.29254	452.04082	442.31230	473.65306
NOL3S	125	1	495.84640	451.63265	493.70809	473.24490
NOL3S	126	0	527.41874	416.32653	603.28872	438.36735
NOL3S	127	0	196.40535	603.00000	112.58126	618.22449
NOL3S	127	1	235.56405	580.34694	189.06310	595.57143
NOL3S	128	0	249.69471	625.06122	121.96303	630.93878
NOL3S	128	1	201.97004	624.65306	62.40918	632.57143
NOL3S	129	0	360.99426	536.32653	376.90249	552.24490
NOL3S	130	0	1519.90440	458.46939	1600.56214	483.18367
NOL3S	130	1	1558.24729	451.32653	1643.18802	476.44898
NOL3S	131	0	1567.53601	423.61224	1664.60166	449.40816
NOL3S	132	0	191.03633	330.85714	256.80561	356.53061
NOL3S	132	1	225.70809	314.73469	287.80625	343.46939
NOL3S	133	0	1578.12874	386.22449	1659.02358	413.24490
NOL3S	133	1	1530.81198	387.04082	1603.14085	413.85714
NOL3S	134	0	917.45698	319.34694	891.00956	340.69388
NOL3S	134	1	968.64882	315.26531	942.81326	339.06122
NOL3S	135	0	1004.66539	476.32653	1018.12620	502.04082
NOL3S	135	1	1069.52199	475.10204	1085.43021	499.59184
NOL3S	136	0	1567.84895	695.73696	1494.96367	739.53061
NOL3S	136	1	1656.41491	702.82993	1580.59656	747.38095
NOL3S	137	0	453.99618	434.69388	442.98279	460.40816
NOL3S	137	1	524.97132	435.91837	522.52390	456.73469
NOL3S	138	0	511.81899	424.91837	383.80433	441.85714
NOL3S	138	1	573.82027	419.61224	439.89101	440.42857
NOL3S	139	0	809.11472	363.75510	696.66730	390.65306
NOL3S	139	1	879.47801	361.30612	758.87253	384.73469
NOL3S	140	0	1520.06947	880.75510	1215.11600	925.18367
NOL3S	140	1	1445.21925	876.67347	1135.98279	918.44898
NOL3S	141	0	448.54876	443.89796	271.69981	463.24490
NOL3S	141	1	535.43212	414.10204	355.72785	435.28571
NOL3S	142	0	1768.33461	833.85034	1615.77629	891.21088
NOL3S	142	1	1722.75143	835.85488	1553.06119	895.37415
NOL3S	143	0	1506.21606	728.97732	1329.22180	768.65986
NOL3S	143	1	1527.47801	739.61678	1359.50860	780.22449
NOL3S	144	0	1339.37476	471.81406	1266.74187	497.70522
NOL3S	144	1	1402.24283	475.82313	1327.77438	500.94331
NOL3S	145	0	954.34481	636.36735	810.23263	655.28571
NOL3S	145	1	1031.64245	641.06122	868.35883	664.06122
NOL3S	146	0	1040.05545	557.30612	857.69344	580.73469
NOL3S	146	1	1111.84640	553.83673	926.01721	577.87755
NOL3S	147	0	1176.78585	543.87755	1065.60102	568.46939
NOL3S	147	1	1242.45825	541.83673	1128.82600	569.28571
NOL3S	148	0	1459.72658	550.16327	1311.14723	577.08163
NOL3S	148	1	1523.35946	559.75510	1370.49713	590.55102
NOL3S	149	0	1704.65392	530.14286	1628.45634	568.40816
NOL3S	149	1	1776.03697	531.36735	1703.30656	566.16327
NOL3S	150	0	1823.53091	570.75510	1735.53091	607.79592
NOL3S	150	1	1919.38815	568.91837	1825.47355	608.20408
NOL3S	151	0	938.10134	530.26531	824.50287	550.06122
NOL3S	151	1	991.94455	522.30612	879.36584	544.75510
NOL3S	152	0	776.03633	562.69388	612.62141	575.87755
NOL3S	152	1	830.49140	569.83673	648.51689	589.75510
NOL3S	153	0	800.51052	540.04082	666.05672	564.24490
NOL3S	153	1	869.65010	547.38776	726.63034	565.26531
NOL3S	154	0	358.19885	1009.53288	119.92352	992.72789
NOL3S	154	1	272.84512	1027.72789	40.68834	1005.37188
NOL3S	155	0	1038.83313	547.34615	959.12005	569.96154
NOL3S	155	1	1087.23649	554.84615	1006.94718	577.46154
NOL3S	156	0	642.01530	605.12472	343.90822	613.66213
NOL3S	156	1	702.74187	561.48753	425.13193	582.66893
NOL3S	157	0	389.13958	592.65306	245.96558	607.34694
NOL3S	158	0	1404.58126	863.41043	958.46654	893.81633
NOL3S	158	1	1279.08031	823.87755	859.04398	847.34694
NOL3S	159	0	73.42256	734.69388	2.44742	732.24490
NOL3S	160	0	121.14723	858.36735	4.89484	848.57143
NOL3S	161	0	24.16826	728.48980	32.73423	725.51020
NOL3S	161	1	104.32122	724.51020	101.56788	722.44898
NOL3S	162	0	126.34799	771.04082	114.11090	766.53061
NOL3S	162	1	189.98088	761.24490	173.76673	757.04082
NOL3S	163	0	49.25430	785.14286	11.62524	775.69388
NOL3S	163	1	130.93690	778.10204	93.61377	770.48980
NOL3S	164	0	99.12046	862.04082	115.02868	851.02041
NOL3S	165	0	1840.45889	718.77551	1719.31166	765.30612
NOL3S	165	1	1727.87763	708.97959	1594.49331	756.73469
NOL3S	166	0	145.00956	813.95918	127.57170	804.69388
NOL3S	166	1	193.95793	802.63265	169.17782	794.89796
NOL3S	167	0	230.00765	619.59184	214.45507	632.75510
NOL3S	167	1	291.19312	602.75510	263.40344	612.85714
NOL3S	168	0	1639.64627	564.30612	1696.97897	605.83673
NOL3S	169	0	1695.01912	547.46939	1771.93117	587.77551
NOL3S	170	0	1796.40535	542.44898	1856.36711	579.18367
NOL3S	171	0	1740.11472	562.04082	1862.48566	606.12245
NOL3S	172	0	1786.61568	644.08163	1813.53728	693.06122
NOL3S	172	1	1841.68260	647.75510	1882.06501	690.61224
NOL3S	173	0	1835.56405	700.40816	1834.34034	754.28571
NOL3S	174	0	1800.68834	690.40816	1821.89930	742.04082
NOL3S	174	1	1745.62141	693.46939	1760.30593	741.63265
NOL3S	175	0	1616.20778	774.32653	1624.18164	825.61224
NOL3S	175	1	1575.62141	800.04082	1576.04908	848.46939
NOL3S	176	0	1566.65519	742.18367	1571.06373	788.32653
NOL3S	176	1	1501.79860	751.16327	1506.81899	795.06122
NOL3S	177	0	1632.01721	741.67347	1640.99426	784.89796
NOL3S	177	1	1574.50287	747.79592	1588.37476	795.91837
NOL3S	178	0	1872.47929	770.40816	1850.24857	826.53061
NOL3S	178	1	1803.33971	770.40816	1791.51052	828.97959
NOL3S	179	0	1760.91778	753.06122	1746.23327	806.93878
NOL3S	179	1	1682.60038	749.38776	1681.37667	802.04082
NOL3S	180	0	1355.99235	937.24490	1035.04780	973.77551
NOL3S	180	1	1312.24474	900.51020	1002.61950	937.34694
NOL3S	181	0	1158.64054	877.65306	822.74187	902.65306
NOL3S	181	1	1104.18547	821.63265	777.15870	844.18367
NOL3S	182	0	1320.10325	758.83673	1262.37285	797.28571
NOL3S	182	1	1383.12428	775.36735	1319.58126	815.95918
NOL3S	183	0	1852.28808	781.61224	1775.39834	841.02041
NOL3S	183	1	1904.29573	792.83673	1823.93881	854.28571
NOL3S	184	0	172.83527	716.86616	172.83527	718.49728
NOL3S	184	1	232.79853	702.76387	238.38334	707.33297
NOL3S	185	0	30.86344	743.38955	7.05450	733.27095
NOL3S	185	1	156.37477	765.42437	124.62952	760.30033
NOL3S	186	0	48.20576	684.26007	48.49969	685.19804
NOL3S	186	1	137.56277	677.50272	135.21127	680.20348
NOL3S	187	0	481.97122	823.33841	447.16228	828.49728
NOL3S	187	1	525.47397	823.92601	487.43172	828.49728
NOL3S	188	0	728.48622	703.86398	585.83160	717.97171
NOL3S	188	1	683.80772	710.32753	534.68647	726.19804
NOL3S	189	0	636.04715	651.97171	556.44091	670.98259
NOL3S	189	1	678.08022	651.97171	590.83160	665.98803
NOL3S	190	0	741.70045	254.71429	750.35819	278.06122
NOL3S	190	1	783.10261	253.89796	782.37859	277.24490
NOL3S	191	0	896.75972	257.67347	928.91077	283.69388
NOL3S	191	1	930.81963	261.34694	965.21415	283.28571
NOL3S	192	0	622.40217	269.89796	695.30593	298.97959
NOL3S	193	0	975.68897	298.69388	1070.65711	325.93878
NOL3S	194	0	1111.12811	260.81633	1128.26004	285.30612
NOL3S	195	0	1579.10962	287.34694	1602.11600	304.55102
NOL3S	196	0	1437.56724	288.57143	1508.29828	307.61224
NOL3S	197	0	1435.52772	302.44898	1517.88400	327.20408
NOL3S	198	0	1583.18866	326.32653	1688.59146	347.81633
NOL3S	199	0	1333.14786	280.02041	1391.72721	297.08163
NOL3S	200	0	900.99681	279.93878	977.25366	307.32653
NOL3S	201	0	959.73486	268.10204	1033.74825	293.85714
NOL3S	202	0	907.99235	319.59184	1008.33652	342.85714
NOL3S	203	0	1157.62906	309.79592	1254.30210	335.51020
NOL3S	204	0	1173.53728	304.89796	1294.68451	325.71429
NOL3S	205	0	1035.50287	300.20408	1145.45698	325.12245
NOL3S	206	0	1056.71383	305.30612	1167.42511	330.61224
NOL3S	207	0	1639.48311	300.75510	1695.91077	316.06122
NOL3S	208	0	1472.12237	322.04082	1459.88528	344.08163
NOL3S	209	0	528.45928	748.14146	412.21678	754.02285
NOL3S	209	1	571.66810	727.28183	457.48316	727.87486
NOL3S	210	0	250.43478	545.28836	337.44029	560.56583
NOL3S	211	0	237.50153	807.35582	94.06001	801.47987
NOL3S	212	0	49.38151	759.17301	2.35150	753.29706
NOL3S	213	0	110.22658	702.72361	18.51806	701.54298
NOL3S	213	1	166.07471	677.45702	79.36314	677.74538
NOL3S	214	0	1431.72849	359.51020	1481.81453	382.20408
NOL3S	214	1	1476.08795	357.06122	1535.04589	381.59184
NOL3S	215	0	1394.40535	377.57143	1420.32314	397.20408
NOL3S	215	1	1433.56405	374.81633	1462.84704	396.89796
NOL3S	216	0	1321.28872	367.16327	1392.78967	389.85714
NOL3S	216	1	1354.94073	366.55102	1429.80688	388.02041
NOL3S	217	0	1270.19885	395.32653	1295.50478	418.32653
NOL3S	217	1	1308.13384	392.26531	1336.19312	415.26531
NOL3S	218	0	1298.03824	340.22449	1340.47610	364.75510
NOL3S	219	0	1345.15105	321.24490	1408.08604	341.79592
NOL3S	220	0	491.90631	992.05658	137.14268	972.98477
NOL3S	220	1	580.08757	1016.34385	199.45744	1000.40588
NOL3S	221	0	1270.49418	1034.75517	912.27189	1070.01088
NOL3S	221	1	1340.05940	1030.64200	972.43111	1068.44396
