FAMILY	GENUS	SPECIES	CAAB CODE			
Alopiidae	Alopias		37012901			
Oikopleuridae	Althoffia		35203902			
Monacanthidae	Aluterus		37465907			
Monacanthidae	Amanses		37465908			
Polyclinidae	Amaroucium		35019901			
Nomeidae	Amarsipus		37446901			
Ambassidae	Ambassis		37310901			
Platycephalidae	Ambiserrula		37296904			
Cirrhitidae	Amblycirrhitus		37374901			
Gobiidae	Amblyeleotris		37428904			
Clupeidae	Amblygaster		37085907			
Pomacentridae	Amblyglyphidodon		37372903			
Gobiidae	Amblygobius		37428905			
Gobiidae	Amblyotrypauchen		37428906			
Pomacentridae	Amblypomacentrus		37372904			
Rajidae	Amblyraja		37031901			
Ariidae	Amissidens		37188902			
Ammodytidae	Ammodytoides		37425901			
Ammotheidae	Ammothea		33012902			
Ammotheidae	Ammothella		33012903			
Pleuronectidae	Ammotretis		37461900			
Terapontidae	Amniataba		37321902			
Gobiidae	Amoya		37428907			
Chaetodontidae	Amphichaetodon		37365902			
Pomacentridae	Amphiprion		37372905			
Pseudochromidae	Amsichthys		37313901			
Anabantidae	Anabas		37450750			
Bythitidae	Anacanthobythites		37228904			
Monacanthidae	Anacanthus		37465909			
Pseudodistomidae	Anadistoma		35021901			
Labridae	Anampses		37384906			
Callionymidae	Anaora		37427901			
Muraenidae	Anarchias		37060901			
Anguillidae	Anguilla		37056901			
Plotosidae	Anodontiglanis		37192901			
Clupeidae	Anodontostoma		37085908			
Anomalopidae	Anomalops		37260901			
Ostraciidae	Anoplocapros		37466902			
Phoxichilidiidae	Anoplodactylus		33015901			
Anoplogastridae	Anoplogaster		37257901			
Callipallenidae	Anoropallene		33011901			
Anotopteridae	Anotopterus		37129901			
Pristidae	Anoxypristis		37025901			
Antennariidae	Antennarius		37210902			
Antennariidae	Antennatus		37210903			
Serranidae	Anthias		37311915			
Caproidae	Antigonia		37267901			
Moridae	Antimora		37224904			
Cottidae	Antipodocottus		37300901			
Serranidae	Anyperodon		37311916			
Trichiuridae	Aphanopus		37440902			
Lutjanidae	Aphareus		37346918			
Aphyonidae	Aphyonus		37228905			
Apistidae	Apistops		37287906			
Apistidae	Apistus		37287907			
Polyclinidae	Aplidiopsis		35019902			
Polyclinidae	Aplidium		35019903			
Aploactinidae	Aploactis		37290903			
Aploactinidae	Aploactisoma		37290904			
Aplodactylidae	Aplodactylus		37376901			
Gobiidae	Apocryptodon		37428908			
Apogonidae	Apogon		37327901			
Apogonidae	Apogonichthyoides		37327902			
Apogonidae	Apogonichthys		37327903			
Acropomatidae	Apogonops		37311917			
Pomacanthidae	Apolemichthys		37365903			
Tripterygiidae	Apopterygion		37415901			
Pseudogrammatidae	Aporops		37314901			
Lutjanidae	Aprion		37346919			
Scyliorhinidae	Apristurus		37015901			
Ophichthidae	Apterichtus		37068902			
Rhinobatidae	Aptychotrema		37027903			
Ostraciidae	Aracana		37466903			
Apogonidae	Archamia		37327904			
Paralepididae	Arctozenus		37126901			
Gobiidae	Arcygobius		37428909			
Gobiidae	Arenigobius		37428910			
Argentinidae	Argentina		37097901			
Sternoptychidae	Argyripnus		37107901			
Sternoptychidae	Argyropelecus		37107902			
Sparidae	Argyrops		37353905			
Sciaenidae	Argyrosomus		37354904			
Ariommatidae	Ariomma		37447900			
Congridae	Ariosoma		37067902			
Malacosteidae	Aristostomias		37110901			
Ariidae	Arius		37188901			
Bothidae	Arnoglossus		37460902			
Tetraodontidae	Arothron		37467901			
Hemiramphidae	Arrhamphus		37234901			
Arripidae	Arripis		37344901			
Artedidraconidae	Artedidraco		37405901			
Hexacrobylidae	Asajirus		35030901			
Ascidiidae	Ascidia		35002901			
Ascidiidae	Ascidiella		35002902			
Ammotheidae	Ascorhynchus		33012904			
Soleidae	Aseraggodes		37462902			
Gobiesocidae	Aspasmogaster		37206902			
Blenniidae	Aspidontus		37408901			
Alepocephalidae	Asquamiceps		37114902			
Plesiopidae	Assessor		37316901			
Pseudochromidae	Assiculoides		37313902			
Pseudochromidae	Assiculus		37313903			
Trichiuridae	Assurger		37440903			
Styelidae	Asterocarpa		35033902			
Bothidae	Asterorhombus		37460903			
Gobiidae	Asterropteryx		37428911			
Macrouridae	Asthenomacrurus		37232903			
Astronesthidae	Astronesthes		37108901			
Hydrophiidae	Astrotia		39125903			
Scyliorhinidae	Asymbolus		37015902			
Ateleopodidae	Ateleopus		37136901			
Scyliorhinidae	Atelomycterus		37015903			
Pleuronectidae	Atheresthes		37461795			
Atherinidae	Atherinason		37246901			
Atherinidae	Atherinomorus		37246902			
Atherinidae	Atherinosoma		37246903			
Atherinidae	Atherion		37246904			
Sciaenidae	Atractoscion		37354905			
Didemnidae	Atriolum		35013901			
Sciaenidae	Atrobucca		37354906			
Blenniidae	Atrosalarias		37408902			
Carangidae	Atule		37337915			
Scorpididae	Atypichthys		37361901			
Grammistidae	Aulacocephalus		37312901			
Alepocephalidae	Aulastomatomorpha		37114903			
Scyliorhinidae	Aulohalaelurus		37015904			
Aulopidae	Aulopus		37117802			
Aulostomidae	Aulostomus		37277901			
Trachichthyidae	Aulotrachichthys		37255901			
Leiognathidae	Aurigequula		37341902			
Austrodecidae	Austrodecus		33019901			
Labridae	Austrolabrus		37384907			
Gobiidae	Austrolethops		37428912			
Sciaenidae	Austronibea		37354907			
Callipallenidae	Austropallene		33011902			
Ammotheidae	Austroraptus		33012905			
Scombridae	Auxis		37441915			
Nemichthyidae	Avocettina		37076901			
Gobiidae	Awaous		37428913			
Pleuronectidae	Azygopus		37461902			
Alepocephalidae	Bajacalifornia		37114904			
Ptychoderidae	Balanoglossus		36117901			
Balistidae	Balistapus		37465910			
Balistidae	Balistes		37465911			
Balistidae	Balistoides		37465912			
Banjosidae	Banjos		37322901			
Aphyonidae	Barathronus		37228906			
Cyprinidae	Barbonymus		37165750			
Barbourisiidae	Barbourisia		37134901			
Gobiidae	Barbuligobius		37428914			
Ophichthidae	Bascanichthys		37068903			
Congridae	Bassanago		37067903			
Ophidiidae	Bassozetus		37228907			
Oikopleuridae	Bathochordaeus		35203903			
Melanostomiidae	Bathophilus		37109901			
Aploactinidae	Bathyaploactis		37290905			
Callionymidae	Bathycallionymus		37427902			
Bathyclupeidae	Bathyclupea		37358901			
Congridae	Bathycongrus		37067904			
Bathydraconidae	Bathydraco		37406903			
Bathygadidae	Bathygadus		37232904			
Gobiidae	Bathygobius		37428915			
Bathylagidae	Bathylagichthys		37098901			
Bathylagidae	Bathylagoides		37098902			
Bathylagidae	Bathylagus		37098903			
Pallenopsidae	Bathypallenopsis		33020901			
Pyuridae	Bathypera		35032902			
Triacanthodidae	Bathyphylax		37464901			
Alepocephalidae	Bathyprion		37114905			
Ipnopidae	Bathypterois		37123901			
Arhynchobatidae	Bathyraja		37031902			
Bathysauroididae	Bathysauroides		37120901			
Bathysauropsidae	Bathysauropsis		37120902			
Bathysauridae	Bathysaurus		37118902			
Labracoglossidae	Bathystethus		37332901			
Alepocephalidae	Bathytroctes		37114906			
Ipnopidae	Bathytyphlops		37123902			
Congridae	Bathyuroconger		37067905			
Batrachoididae	Batrachomoeus		37205901			
Bythitidae	Beaglichthys		37228908			
Acanthoclinidae	Beliops		37319901			
Acanthoclinidae	Belonepterygion		37319902			
Grammistidae	Belonoperca		37312902			
Sebastidae	Bembradium		37287908			
Platycephalidae	Bembras		37296905			
Percophidae	Bembrops		37393902			
Scopelarchidae	Benthalbella		37131901			
Ophidiidae	Benthocometes		37228909			
Trichiuridae	Benthodesmus		37440904			
Myctophidae	Benthosema		37122902			
Berycidae	Beryx		37258901			
Syngnathidae	Bhanotia		37282902			
